日期,凭证号,科目,部门,摘要,金额,备注
2024-06-03,V064,差旅费,销售部,拉萨援建考察,15000.00,特殊项目
2024-06-05,V065,办公费,技术部,软件许可证,18000.00,
2024-06-08,V066,咨询费,技术部,信息安全认证,65000.00,
2024-06-10,V067,招待费,销售部,半年度渠道大会,38000.00,
2024-06-12,V068,差旅费,总经办,大连夏季达沃斯,22000.00,
2024-06-15,V069,办公费,行政部,搬迁费,45000.00,办公室搬迁
2024-06-18,V070,咨询费,财务部,海外上市咨询,200000.00,战略级
2024-06-20,V071,招待费,总经办,政府领导视察接待,12000.00,
2024-06-23,V072,差旅费,销售部,银川业务对接,6800.00,
2024-06-25,V073,办公费,行政部,半年总结会物料,3200.00,
2024-06-28,V074,接待费,总经办,合作伙伴签约,6500.00,
2024-07-01,V074,差旅费,销售部,重复凭证号测试,4200.00,重号
2024-07-03,V076,办公费,行政部,季度预算调整,1500.00,
2024-07-05,V077,招待费,财务部,审计团队招待,5800.00,
2024-07-08,V078,差旅费,技术部,福州项目验收,4800.00,
2024-07-10,V079,咨询费,总经办,ESG报告咨询,55000.00,
2024-07-12,V080,办公费,行政部,监控系统安装,15800.00,
2024-07-15,V081,招待费,销售部,重要客户签单宴,25000.00,
2024-07-17,V082,差旅费,财务部,石家庄财务会议,2200.00,
2024-07-20,V083,办公费,技术部,云服务年费,36000.00,AWS年费
2024-07-25,V085,招待费,总经办,年中总结大会宴,32000.00,
2024-07-28,V086,差旅费,销售部,兰州市场推广,5800.00,
2024-07-31,V087,办公费,行政部,团队建设活动,28000.00,
2024-08-02,V088,咨询费,技术部,AI应用咨询,72000.00,
2024-08-05,V089,招待费,销售部,七夕客户关怀,12500.00,
2024-08-08,V090,差旅费,总经办,青岛海洋论坛,9800.00,
2024-08-10,V091,办公费,行政部,中秋礼品采购,45000.00,全员中秋
2024-08-13,V092,咨询费,财务部,转让定价咨询,65000.00,
2024-08-15,V093,招待费,技术部,院士工作站揭牌宴,18000.00,
2024-08-18,V094,差旅费,销售部,西宁高原项目,11000.00,
2024-08-20,V095,办公费,行政部,空调系统改造,68000.00,
2024-08-23,V096,招待费,总经办,上市庆功宴筹备,55000.00,
2024-08-25,V097,差旅费,技术部,南昌技术培训,3800.00,
2024-08-28,V098,办公费,财务部,财务软件年费,15000.00,
2024-09-01,V099,咨询费,总经办,数字化转型规划,120000.00,
2024-09-03,V100,招待费,销售部,秋季订货会,65000.00,大型
2024-09-05,V101,差旅费,行政部,上海办公用品展,2800.00,
2024-09-08,V102,办公费,技术部,数据库授权,48000.00,
2024-09-10,V103,招待费,总经办,教师节校企合作宴,8800.00,
2024-09-13,V104,差旅费,销售部,乌鲁木齐边疆贸易,18000.00,
2024-09-15,V105,办公费,行政部,周年庆典布置,32000.00,
2024-09-18,V106,咨询费,财务部,跨境税务咨询,85000.00,
2024-09-20,V107,招待费,销售部,海外客户接待,28000.00,
2024-09-22,V108,差旅费,技术部,合肥量子技术会,5200.00,
2024-09-25,V109,办公费,行政部,地毯更换,22000.00,
2024-09-28,V110,招待费,总经办,国庆招待会,42000.00,
2024-10-05,V111,差旅费,销售部,国庆加班差旅,8500.00,假期
2024-10-08,V112,咨询费,总经办,年度规划咨询,98000.00,
2024-10-10,V113,办公费,行政部,冬季供暖费,18000.00,
2024-10-12,V114,招待费,销售部,秋收答谢宴,35000.00,
2024-10-15,V115,差旅费,技术部,济南智慧城市展,4800.00,
2024-10-17,V116,办公费,财务部,审计软件采购,25000.00,
2024-10-20,V117,招待费,总经办,院士工作站年度会,22000.00,
2024-10-22,V118,差旅费,销售部,哈尔滨冬季项目对接,13000.00,
2024-10-25,V119,咨询费,技术部,数字孪生咨询,68000.00,
2024-10-27,V120,办公费,行政部,年终盘点物料,2800.00,
2024-10-30,V121,招待费,销售部,万圣节客户活动,18000.00,
2024-11-02,V122,差旅费,总经办,海南国际论坛,25000.00,
2024-11-05,V123,咨询费,财务部,年终审计准备,35000.00,
2024-11-08,V124,办公费,行政部,办公用品批量采购,8500.00,
2024-11-10,V125,招待费,技术部,技术年会晚宴,32000.00,
2024-11-13,V126,差旅费,销售部,年终冲刺差旅,22000.00,
2024-11-15,V128,办公费,财务部,2025年财务预算会物料,3500.00,
2024-11-18,V129,咨询费,总经办,2025年战略务虚会,150000.00,
2024-11-20,V130,招待费,销售部,年度优秀渠道表彰,85000.00,大型
2024-11-23,V131,差旅费,技术部,2025年技术规划会,6800.00,
2024-11-25,V132,办公费,行政部,年会场租及设备,58000.00,
2024-11-28,V133,招待费,总经办,年终供应商答谢,65000.00,
2024-12-01,V134,差旅费,销售部,年终收尾差旅,15000.00,
2024-12-03,V135,咨询费,财务部,年度审计报告,55000.00,
2024-12-05,V136,办公费,行政部,圣诞新年装饰,12000.00,
2024-12-08,V137,招待费,销售部,客户新年答谢,48000.00,
2024-12-10,V138,差旅费,总经办,年终总结大会,32000.00,
2024-12-13,V139,办公费,技术部,年度IT维护费,42000.00,
2024-12-15,V140,招待费,总经办,新年联欢晚会,120000.00,年终最大活动
2024-12-18,V141,咨询费,总经办,2026年战略规划,200000.00,
2024-12-20,V142,差旅费,销售部,年终最后出差,8500.00,
2024-12-22,V143,办公费,行政部,春节福利采购,88000.00,全员春节
2024-12-25,V144,招待费,销售部,圣诞客户回馈,25000.00,
2024-12-28,V145,差旅费,技术部,年度技术总结会,12000.00,
2024-12-30,V146,办公费,财务部,年度账务整理,3500.00,
2025-01-05,V147,招待费,行政部,开年团建活动,28000.00,
2025-01-08,V148,咨询费,总经办,年度战略执行评估,85000.00,
2025-01-12,999999,办公费,测试部,极端大额测试,9999999.99,异常大额
2025-01-15,999999,办公费,测试部,重复凭证号,5000.00,重号测试
2025-06-15,V150,办公费,行政部,未来日期测试,5000.00,未来日期
2025-01-20,V151,办公费,行政部,负数冲销测试,-15000.00,负数
2025-01-22,V151,办公费,行政部,负数冲销重复,-15000.00,负数+重号
